 t       A(O)      A(F)
 7.12  8.619998  4.636477
 7.13  8.620016  4.636477
 7.14  8.620033  4.636482
 7.15  8.620045  4.636482
 7.16  8.620057  4.636482
 7.17  8.620069  4.636519
 7.18  8.620082  4.636519
 7.19  8.620104  4.636523
 7.20  8.620117  4.636523
 7.21  8.620129  4.636523
 7.22  8.620141  4.636560
 7.23  8.620158  4.636565
 7.24  8.620170  4.636565
 7.25  8.620188  4.636565
 7.26  8.620201  4.636565
 7.27  8.620213  4.636602
 7.28  8.620230  4.636606
 7.29  8.620242  4.636606
 7.30  8.620260  4.636606
 7.31  8.620272  4.636606
 7.32  8.620285  4.636644
 7.33  8.620301  4.636648
 7.34  8.620320  4.636648
 7.35  8.620332  4.636648
 7.36  8.620344  4.636685
 7.37  8.620361  4.636690
 7.38  8.620373  4.636690
 7.39  8.620391  4.636690
 7.40  8.620403  4.636690
 7.41  8.620416  4.636727
 7.42  8.620432  4.636731
 7.43  8.620451  4.636731
 7.44  8.620463  4.636731
 7.45  8.620475  4.636731
 7.46  8.620487  4.636768
 7.47  8.620510  4.636773
 7.48  8.620522  4.636773
 7.49  8.620535  4.636773
 7.50  8.620547  4.636810
 7.51  8.620569  4.636814
 7.52  8.620582  4.636814
 7.53  8.620594  4.636814
 7.54  8.620606  4.636814
 7.55  8.620624  4.636851
 7.56  8.620641  4.636856
 7.57  8.620653  4.636856
 7.58  8.620666  4.636856
 7.59  8.620684  4.636856
 7.60  8.620696  4.636893
 7.61  8.620713  4.636897
 7.62  8.620725  4.636897
 7.63  8.620743  4.636897
 7.64  8.620756  4.636935
 7.65  8.620772  4.636939
 7.66  8.620790  4.636939
 7.67  8.620803  4.636939
 7.68  8.620815  4.636939
 7.69  8.620827  4.636976
 7.70  8.620850  4.636981
 7.71  8.620862  4.636981
 7.72  8.620874  4.636981
 7.73  8.620887  4.637018
 7.74  8.620909  4.637022
 7.75  8.620921  4.637022
 7.76  8.620934  4.637022
 7.77  8.620952  4.637059
 7.78  8.620964  4.637059
 7.79  8.620981  4.637064
 7.80  8.620993  4.637064
 7.81  8.621011  4.637064
 7.82  8.621024  4.637101
 7.83  8.621036  4.637101
 7.84  8.621059  4.637105
 7.85  8.621071  4.637105
 7.86  8.621083  4.637142
